phase,at_utc,mint,status,interval_ms
life,2026-08-03T01:47:18.057Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:47:22.071Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:47:26.059Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:47:30.057Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:47:34.058Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:47:38.062Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:47:42.062Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:47:46.058Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:47:50.072Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:47:54.065Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:47:58.072Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:48:02.104Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:48:06.064Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:48:10.076Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:48:14.077Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:48:18.078Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:48:22.080Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:48:26.112Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:48:30.244Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:48:34.087Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:48:38.096Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:48:42.093Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:48:46.094Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:48:50.091Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:48:54.092Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:48:58.109Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:49:02.096Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:49:06.093Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
life,2026-08-03T01:49:10.094Z,2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,200,4000
