mint,symbol,grad_s_from_mint,grad_bracket_ms,grad_source,window_s,n_fills,n_amm_fills,pages,requests,reached_mint,truncated,create_slot_agrees,pairs_closed_60s,pairs_open_60s,pairs_closed_full,pairs_open_full,early_pairs,early_closed_60s,early_closed_full
FjTjSzPtikyr7woRmtinZjejJhBKsdoJZhQZdeFRpump,Floyd,142.0,2000,page,3742,4735,3921,48,48,1,0,1,89,102,908,155,191,89,186
GBmrxrKcEhiSm5z8tnueycaCcqdPDrQzX8tXBhRApump,Human,204.0,1000,page,3804,6921,5504,70,70,1,0,1,89,157,1300,249,246,89,238
GFG5ZFMoeVrc3fapj5iu6mTyRixoN1wgab3NCjwCpump,Baby,82285.0,1036000,bisect,85885,5689,1788,57,57,1,0,1,61,123,1111,158,184,61,181
GFK1VMaoR6WMaU71j9Hypv8zn5CvsVQc7WXrqmhVpump,Crinkle,238.0,2000,page,3838,8006,7058,81,81,1,0,1,63,78,1063,760,141,63,133
GW3wyPJYHGSaZbEb3hcXNvLhdEqr1YLoULXDcduApump,Sparkle,5063.0,3000,page,8663,1363,401,14,14,1,0,1,43,84,372,44,127,43,123
GxN4wsPK42AsN8xgaj6xMynFmdCwHyeCGGgvGNF3pump,Spam,498.0,1000,page,4098,3548,1674,36,36,1,0,1,148,143,824,148,291,148,283
H23di4NXN6j2pwLwbYjtag1Q3v7ANyXR72kzfWYKpump,Fridge,363.0,2000,page,3963,9737,8559,98,98,1,0,,82,98,1216,985,180,82,171
HHUMekq9aj3FP46dGW6ryFvUVoVKcRBZZg6hso3mpump,Jabarkus,6368.0,3000,page,9968,4777,1077,48,48,1,0,1,110,183,1026,151,293,110,278
HPH2DXvDTTwZbUC84pWEj8fw7KJKEYMDz1Y8waaSpump,Defeat,1112.0,3000,page,4712,5563,4087,56,56,1,0,1,45,58,933,315,103,45,98
HrYUhPVYPUD6JQTeVgTF9iHmyUx3Jajg7mjvEm7cpump,Degenerates,11355.0,170000,bisect,14955,5216,1281,53,53,1,0,1,81,102,1014,161,183,81,177
HtoNB93hCvc3HEmYb55XnEJhhF9PuhDKcb92L73Qpump,69420,1789280.0,27693000,bisect,1792880,10000,10000,100,100,0,1,,0,0,838,1016,0,0,0
J42xMh4sAHLdrBjNTDgKNcPym5A83Ut3twc7L5rQpump,Freddy,2574.0,2000,page,6174,2018,437,21,21,1,0,1,103,119,526,79,222,103,215
J7MxvqPyDMxL3bNWhLw4KUHN7Gnc7a213JG3Lz8Cpump,nothing,10345.0,162000,bisect,13945,5411,1420,55,55,1,0,1,96,104,1182,192,200,96,191
QaL6zWWUqsaXYXgUofeUjXy1Swmwx7tA9JQZZZDpump,POW,375.0,0,page,3975,2547,1160,26,26,1,0,1,100,86,675,85,186,100,182
Rr1GZLB9DCcabir8bYYsE13GbpVyMjq6AJqJdvspump,Mask,539.0,3000,page,4139,4683,2943,47,47,1,0,1,85,72,985,179,157,85,154
V2ZjLZT5cCfLZXUukcG72Xz1BxSPMyD6FPtgg58pump,Float,8.0,0,tape,3608,705,650,8,8,1,0,1,43,106,235,27,149,43,141
bWBhZwLW5z8XruKvkRWTgRHDsdoym3jY79M3NLSpump,Mogger,1085.0,1000,page,4685,2527,1030,26,26,1,0,1,80,85,592,106,165,80,162
yLT7rHdaNkfnqfg5pxXxCTrx1Rsnagod16DnpKBpump,Nilly,2000.0,31000,bisect,5600,7241,4363,73,73,1,0,1,95,86,1182,396,181,95,168
zes5tE3CShN8srHEuyxVcZ1reMKrXFW5gbRNaLypump,Win,3072.0,46000,bisect,6672,4851,1621,49,49,1,0,1,92,147,980,238,239,92,233
